MicroMessenger Client,微信中的工具
Weibo/5431 (iPhone; iOS 9.1; Scale/2.00),微博
QQ/5.9.0.432 CFNetwork/711.5.6 Darwin/14.0.0,qq
MomoChat/6.4.2 Android/467 (Coolpad 8720L; Android 4.3; Gapps 1; zh_CN; 1),陌陌
QQ\xe9\x9f\xb3\xe4\xb9\x90HD 4.6.1 (iPad; iPhone OS 9.1; zh_CN),qq
"Youku;5.1;iPhone OS;9.0.2;iPhone7,2",优酷
imgo4Android/ Dalvik (Android 4.2.2),芒果tv
Weibo/5431 CFNetwork/711.5.6 Darwin/14.0.0,微博
"AppStore/2.0 iOS/9.0.2 model/iPad5,3 hwp/t7001 build/13A452 (5; dt:113)",苹果应用商店
qqlive/3956 CFNetwork/758.0.2 Darwin/15.0.0,腾讯视频
Youku;5.0;Android;4.4.4;MI 4LTE,优酷
Weibo/5431 CFNetwork/711.3.18 Darwin/14.0.0,微博
bjxz.surfo.cn,北京西站
Funshion/3.1.0.2 CFNetwork/711.1.16 Darwin/14.0.0,风行网
News/4.9.6 (iPhone; iOS 9.1; Scale/2.00),新闻
Youku;4.8.3;Android;5.0.2;MI 2S,优酷
QY-Player-iOS/2.0.101,爱奇艺
"QIYIVideo/6.7.1 (iOS;com.qiyi.hd;iOS8.0;iPad4,7) Corejar",爱奇艺
AiMeiTuan /samsung-5.0.1-GT-I9508-0x0-0-null-0-000000000000000-null,美团
QQ\xe9\x9f\xb3\xe4\xb9\x90 5.0 (iPhone; iPhone OS 9.1; zh-CN),qq
Weibo/5269 (iPhone; iOS 8.3; Scale/2.00),微博
AcFun/86 CFNetwork/758.1.6 Darwin/15.0.0,a站
"QIYIVideo/6.7.1 (iOS;com.qiyi.iphone;iOS7.1;iPhone4,1) Corejar",爱奇艺
DYZB/1 CFNetwork/758.1.6 Darwin/15.0.0,斗鱼直播
QQ%E9%9F%B3%E4%B9%90/23548 CFNetwork/758.1.6 Darwin/15.0.0,qq
QQMusic 5070006(android 4.4.2),qq音乐
QQMusic 5020019(android 4.1.2),qq音乐
Airtake/Android/2.8.1(SM-N9009; 4.3; yingyongbao1),爱相机
Youku;5.1.1;Android;4.2.1;vivo X3t,优酷
Youku;5.2;Android;4.2.2;Coolpad 7296S,优酷
qqlive4Android/3.9.0.6272  Dalvik (Android 4.3),腾讯视频
"QIYIVideo/6.7.1 (iOS;com.qiyi.iphone;iOS9.0;iPhone7,2) Corejar",爱奇艺
QQ\xe6\xb5\x8f\xe8\xa7\x88\xe5\x99\xa8HD 4.9.3 rv:4.9.3.7 (iPad; iPhone OS 8.1.2; zh_CN),qq
LetvIphoneClient/6.0.2 (iPhone; iOS 9.0.1; Scale/2.00),乐视视频
QQ/5.9.1.405 CFNetwork/672.1.13 Darwin/14.0.0,qq
QQMusic 5060019(android 5.0),qq音乐
AiMeiTuan /Xiaomi-5.0.2-Redmi Note 2-0x0-0-null-0-000000000000000-null,美团
SOHUVideo/5.0.1.1 CFNetwork/758.0.2 Darwin/15.0.0,搜狐视频
Youku;4.4;Android;4.2.1;M355,优酷
SohuIosP2P,搜狐视频
IQIYI-Player-Android/2.0.92,爱奇艺
